product_name,product_url,product_image
Khoai Môn Hạt Sen 2 Trứng 210g - 2025,https://banhkinhdo.com.vn/san-pham/khoai-mon-hat-sen-2-trung-db/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Thập Cẩm Lạp Xưởng 0 Trứng 150 - 2025,https://banhkinhdo.com.vn/san-pham/thap-cam-lap-xuong-0-trung-150-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Khoai Môn 1 Trứng 150g - 2025,https://banhkinhdo.com.vn/san-pham/khoai-mon-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Xanh Lá Dứa (2 Trứng),https://banhkinhdo.com.vn/san-pham/dau-xanh-la-dua-2-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Khoai Môn  Hạt Sen (2 Trứng) 210g - 2025,https://banhkinhdo.com.vn/san-pham/khoai-mon-hat-sen-2-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Đỏ Kiểu Nhật 2 Trứng 210g - 2025,https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-2-trung-db/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu Xanh 0 Trứng 150g - 2025,https://banhkinhdo.com.vn/san-pham/dau-xanh-0-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu  Đỏ  Kiểu Nhật (1 Trứng),https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-1-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Đậu  Đỏ  Kiểu Nhật (2 Trứng),https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-2-trung/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bào ngư (2 Trứng ĐB)_210G,https://banhkinhdo.com.vn/san-pham/bao-ngu-2-trung-db/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
KẸO SOCOLA KINH ĐÔ THẬP CẨM 330G - TẾT 2025,https://banhkinhdo.com.vn/san-pham/hop-qua-socola-sua-hanh-nhan-cadbury-dairy-milk-150g-tet-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
KẸO SOCOLA KINH ĐÔ THẬP CẨM  138G - TẾT 2025,https://banhkinhdo.com.vn/san-pham/hop-qua-socola-sua-cadbury-dairy-milk-150g-tet-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
AFC BÁNH CRACKER DINH DƯỠNG 172G,https://banhkinhdo.com.vn/san-pham/afc-banh-cracker-dinh-duong-172g/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20181%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
KẸO KINH ĐÔ SOCOLA  THẬP CẨM 230G TẾT 2025,https://banhkinhdo.com.vn/san-pham/keo-kinh-do-choco-hop-hinh-tim-thap-cam-138g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
BÁNH CRACKER AFC DINH DƯỠNG VỊ CỐM NON 2024 (261G),https://banhkinhdo.com.vn/san-pham/banh-cracker-afc-dinh-duong-vi-rau-lua-mi-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
BÁNH CRACKER AFC DINH DƯỠNG VỊ CARAMEN FLAN 261G - TẾT 2024,https://banhkinhdo.com.vn/san-pham/banh-cracker-afc-dinh-duong-vi-rau-lua-mi-tet-2021-2/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
KẸO KINH ĐÔ CHOCO HỘP BÁT GIÁC THẬP CẨM 230G TẾT 2024,https://banhkinhdo.com.vn/san-pham/keo-kinh-do-choco-hop-bat-giac-thap-cam-230g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20263%20231%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Hộp 2 Bánh - Thu Hạnh Phúc 2 Ngọt,https://banhkinhdo.com.vn/san-pham/thu-hanh-phuc-hop-2-banh/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20229%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Trà Xanh Hạt Macadamia 150g - 2022,https://banhkinhdo.com.vn/san-pham/tra-xanh-hat-macadamia/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
"Đậu Xanh Hạnh Nhân 150g - Bánh dành cho người ăn kiêng, ăn chay",https://banhkinhdo.com.vn/san-pham/dau-xanh-hanh-nhan-150g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
"Mè Đen Hạt Dưa 150G - Bánh dành cho người ăn kiêng, ăn chay",https://banhkinhdo.com.vn/san-pham/me-den-hat-dua/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
"Hạt Sen Hạt Chia 150G - Bánh dành cho người ăn kiêng, ăn chay",https://banhkinhdo.com.vn/san-pham/hat-sen-hat-chia-_150g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY MARIE - BÁNH QUY SỮA 192G (HỘP GIẤY) TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-giay/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY BƠ THẬP CẨM SOCOLA (HỘP THIẾC) 546G TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY BƠ THẬP CẨM RẮC HẠT (HỘP GIẤY) TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-giay/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH XỐP 2 TRONG 1 (gói 148g) TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
BÁNH QUẾ COSY GÓI 117G,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-socola/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY MARIE - BÁNH QUY SỮA ( HỘP GIẤY ) 528G TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-wonderful-banh-quy-hat-socola-yen-mach-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20255%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY BƠ THẬP CẨM SOCOLA (HỘP THIẾC) 378G TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-socola-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
BÁNH QUY COSY BƠ THẬP CẨM (HỘP THIẾC 600G) TẾT 2024,https://banhkinhdo.com.vn/san-pham/banh-que-socola-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY MARIE - BÁNH QUY SỮA 336G TẾT 2024,https://banhkinhdo.com.vn/san-pham/banh-que-thap-cam-hop-giay/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY BƠ THẬP CẨM SOCOLA ( HỘP GIẤY ) 330G TẾT 2024,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-rac-hat-hop-thiec-546g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20264%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY HẠT - SOCOLA YẾN MẠCH 196G (TẾT 2024),https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-kep-kem-hop-thiec-546g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY BƠ THẬP CẨM  BƠ SỮA (HỘP THIẾC) 378G TẾT 2025,https://banhkinhdo.com.vn/san-pham/cosy-banh-quy-bo-thap-cam-socola-hop-thiec/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
COSY BÁNH QUY HẠT - BƠ & HẠT ĐIỀU 224G (TẾT 2024),https://banhkinhdo.com.vn/san-pham/banh-quy-sua-cosy-marie-hop-giay/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Hạt Sen ( 0 Trứng) 150G,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-0-trung-150g/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
