product_id,product_name,barcode,brand,image,description,url
0,"
	Khoai Môn Hạt Sen 2 Trứng 210g – 2025",M,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180812170626-picture-price1-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 230 gram Thành phần: Nhân Hỗn Hợp Khoai Môn Hạt Sen 2 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô, bánh trung thu Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/khoai-mon-hat-sen-2-trung-db/
1,"
	Thập Cẩm Lạp Xưởng 0 Trứng 150 – 2025",40,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811122349-picture-price-5.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp Thập Cẩm và Lạp Xưởng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh trung thu Kinh Đô từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/thap-cam-lap-xuong-0-trung-150-2024/
2,"
	Khoai Môn 1 Trứng 150g – 2025",M1,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180813075036-picture-price-1-2.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp Khoai Môn, có 1 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, banh trung thu Kinh Do, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/khoai-mon-1-trung/
3,"
	Đậu Xanh Lá Dứa (2 Trứng)",L2,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811122103-picture-price1-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 210 gram Thành phần: Nhân Hỗn Hợp Đậu Xanh Lá Dứa, có 2 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ? (BANH TRUNG THU KINH DO)",https://banhkinhdo.com.vn/san-pham/dau-xanh-la-dua-2-trung/
4,"
	Khoai Môn  Hạt Sen (2 Trứng) 210g – 2025",M2,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180812170626-picture-price-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 210 gram Thành phần: Nhân Hỗn Hợp Khoai Môn, có 2 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình, BANH TRUNG THU Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/khoai-mon-hat-sen-2-trung/
5,"
	Đậu Đỏ Kiểu Nhật 2 Trứng 210g – 2025",R,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123052-picture-price-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 230 gram Thành phần: Nhân Hỗn Hợp Đậu Đỏ Kiểu Nhật  2 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-2-trung-db/
6,"
	Đậu Xanh 0 Trứng 150g – 2025",60,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811122903-picture-price1-5.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp Đậu Xanh 0 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/dau-xanh-0-trung/
7,"
	Đậu  Đỏ  Kiểu Nhật (1 Trứng)",R1,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123052-picture-price2-5.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 150 gram Thành phần: Nhân Hỗn Hợp Đậu Đỏ, có 1 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-1-trung/
8,"
	Đậu  Đỏ  Kiểu Nhật (2 Trứng)",R2,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811123052-picture-price1-3.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 210 gram Thành phần: Nhân Hỗn Hợp Đậu Đỏ, có 2 Trứng Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình… BÁNH TRUNG THU KINH ĐÔ NGON NHẤT Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng bánh thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ?",https://banhkinhdo.com.vn/san-pham/dau-do-kieu-nhat-2-trung/
9,"
	Bào ngư (2 Trứng ĐB)_210G",B,Kinh Đô,https://banhkinhdo.com.vn/wp-content/uploads/2020/07/20180811121821-picture-price1-5.png,"Thương hiệu: Kinh Đô Loại bánh: Bánh Nướng Hình thức: 01 Bánh, Hộp Kiếng Chống Ẩm Khối lượng: 210 gram Thành phần: Bánh Nướng Trung thu ta lại gặp nhau ~ cùng chia miếng bánh thỏa câu ân tình Trong hai món bánh Trung Thu, bánh nướng chính là thứ quà căn bản nhất mà lại cầu kỳ tinh vi diệu vợi nhất Cầu kỳ từ khâu chọn loại bột mì mềm và mịn nhất để vỏ bánh giòn thơm sần sật, cầu kỳ đến việc loại trứng tròn đều muôn vạn quả như một, thấm muối vừa vặn, sắc sảo mặn mà mà không làm phiền đến vị giác người ăn Mỗi loại bánh từ truyền thống như nhân Thập Cẩm, nhân Đậu Xanh hay hiện đại như nhân Gà Quay XO, Bào Ngư, Vi Cá…đều thể hiện một kỳ công bất tuyệt của người Nghệ nhân làm bánh Kinh Đô Đây miếng banh trung thu Kinh Đô thơm ngon, đây ân tình trân quý, dưới ánh trăng thu vằng vặc ta trao nhau chút tình nghĩa mặn mà của cả một mùa ân nghĩa, còn làm gì hơn vẻ hữu tình của mùa thu hơn vậy ? Web: https://banhkinhdo.com.vn",https://banhkinhdo.com.vn/san-pham/bao-ngu-2-trung-db/
