product_id,product_name,barcode,brand,image,description,url
0,Bánh Trung Thu Kinh Đô - Bánh Nướng Nhân Ngọt 1 Trứng 150G (Hạt Sen/ Đậu Xanh/ Khoai Môn/ Sầu Riêng/ Sữa Dừa/ Đậu Đỏ),1947419210_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/Se35b198f6f834c4faec29f87757128789.jpg,,//www.lazada.vn/products/pdp-i1947419210.html
1,BÁNH TRUNG THU TÂN DÂN LỢI ĐỦ VỊ 200GR,2306038447_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S14ce903570dc43e6b2ed53033f935e00q.jpg,,//www.lazada.vn/products/pdp-i2306038447.html
2,BÁNH TRUNG THU TÂN DÂN LỢI GÀ QUAY/ĐẬU XANH/KHOAI MÔN/MÈ ĐEN 2 TRỨNG 200GR,2306042734_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/b4acd374741b65bd54cd0d49c2e9262e.jpg,,//www.lazada.vn/products/pdp-i2306042734.html
3,"[Bánh Mới] nhân Gà quay , Xá Xíu thập cẩm,.. bánh trung thu Tân Dân Lơi 200g ít ngọt Cake food",2306020332_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sff10bf9035b74d10913076bbf6be9eebZ.jpg,,//www.lazada.vn/products/pdp-i2306020332.html
4,Bánh Trung Thu Thập Cẩm,1834078369_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S83284f644d25436980b6fa5884a7ba13w.jpg,,//www.lazada.vn/products/pdp-i1834078369.html
5,Bánh trung thu chay Liên Hoa ngon và healthy ( thực phẩm chay) FREESHIP,1877693869_VNAMZ,No Brand,https://sg-live-01.slatic.net/p/1a197496c878cc2ed642af11f757ce3b.png,,//www.lazada.vn/products/pdp-i1877693869.html
6,Bánh trung thu Tân Xuân đậu xanh hột vịt - 170gr,2277724104_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sc342039f49cf4cd1b0441d80a8da544fi.jpg,,//www.lazada.vn/products/pdp-i2277724104.html
7,"Bánh trung thu Tân Huê Viên Sóc Trăng, Đặc sản bánh trung thu gia truyền nhiều vị khác nhau 200g [Mua 4 bánh tặng hộp]",1961707583_VNAMZ,TÂN HUÊ VIÊN,https://vn-live-01.slatic.net/p/459e8e82e0e1740e738b4919a445fa1b.jpg,,//www.lazada.vn/products/pdp-i1961707583.html
8,Bánh Trung Thu Tân Tân Bến Tre 200gam 2 trứng đủ loại nhân,2792567317_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Seb42dabc5c0b4599b29b0336936b76dbD.jpg,,//www.lazada.vn/products/pdp-i2792567317.html
9,Bánh Trung Thu 200gr Tân Xuân Âu Cơ,3127320529_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/0232d8e8cd504a228f475bac8537a368.jpg,,//www.lazada.vn/products/pdp-i3127320529.html
10,"BÁNH TRUNG THU GIVRAL NHIỀU LỰA CHỌN (HỘP 1 BÁNH, 2 BÁNH, 4 BÁNH, 6 BÁNH)",2695634573_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/7d7694e74f6b487263b9af32bb0eff44.jpg,,//www.lazada.vn/products/pdp-i2695634573.html
11,"Hộp 2 Bánh Trung Thu Kinh Đô ""Team Thập Cẩm"" (2 Bánh X 150G)",1952074597_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S92f492969d6342dbb31c37fb06eccdfc4.jpg,,//www.lazada.vn/products/pdp-i1952074597.html
12,[ Độc Quyền Online ] Hộp Bánh Trung Thu Kinh Đô Phiên Bản Đặc Biệt - Túi Đeo Chéo Magic Keeper (2 Bánh X 80G),3157350959_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S04bc1fa079534efa8b9e414fa4616c5b4.jpg,,//www.lazada.vn/products/pdp-i3157350959.html
13,"Hộp 4 Bánh Trung Thu Kinh Đô ""Thưởng Trà Ngắm Trăng"" (4 Bánh X 210G)",2706253362_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S0f2cce057c5542d8a8f18c4f248d28b4u.jpg,,//www.lazada.vn/products/pdp-i2706253362.html
14,Combo 2 bánh trung thu Tân Xuân,2717103368_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/4c21ca0cf435ed57bbb880af51f34284.jpg,,//www.lazada.vn/products/pdp-i2717103368.html
15,Combo 165k - 4 bánh Trung Thu 200gr - 1 trứng kèm Hộp,2372888221_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/8b225dd215d8cb4eff9d185336b60b1b.jpg,,//www.lazada.vn/products/pdp-i2372888221.html
16,BÁNH TRUNG THU VỊ GÀ QUAY SIZE LỚN 5 TRỨNG 700G TÂN DÂN LỢI,2414433966_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S96167da2bc7042e780a52b11a5aadeecq.jpg,,//www.lazada.vn/products/pdp-i2414433966.html
17,BÁNH TRUNG THU VỊ GÀ QUAY SIZE LỚN 4 TRỨNG 600G TÂN DÂN LỢI,2414716137_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sec6e6d6d38a54332840b97c0676c88d5F.jpg,,//www.lazada.vn/products/pdp-i2414716137.html
18,Hộp Bình Dân + Combo 4 bánh Trung thu Tân Xuân,2372886416_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/7229a696727bd3fb343b3bf40ea27b8f.jpg,,//www.lazada.vn/products/pdp-i2372886416.html
19,"Combo 5 Bánh Trung Thu Truyền Thống Loại Đủ Vị Nhân Bánh (Thập Cẩm, Đậu Xanh, Khoai Môn, Dừa, Trà Xanh)",2768684553_VNAMZ,TLP,https://vn-live-01.slatic.net/p/d5365c44b407db72cfaeecfa1b613f95.png,,//www.lazada.vn/products/pdp-i2768684553.html
20,Bánh Trung Thu truyền thống Bảo Phương Thụy Khuê xếp hàng. Bán quanh năm. Uy tín 60 năm.  chỉ bán các tỉnh phía bắc do ảnh hưởng d ịch,1407954770_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S59216ba1801741518ce7c0f22fefa197K.jpg,,//www.lazada.vn/products/pdp-i1407954770.html
21,Bánh trung thu thập cẩm gà quay 2 trứng 220g (Bánh trung thu homemade),1775970069_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S23bc0ffd90c0468fa64ebc5805421ed85.jpg,,//www.lazada.vn/products/pdp-i1775970069.html
22,BÁNH TRUNG THU TÂN DÂN LỢI 2 TRỨNG 200GR,1868914236_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S98ea71ec3c5b4aa2997a921ef9c98206r.jpg,,//www.lazada.vn/products/pdp-i1868914236.html
23,BÁNH TRUNG THU VỊ GÀ QUAY SIZE LỚN 8 TRỨNG 900G TÂN DÂN LỢI,2414512606_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S3bfd26468f704c539dc77fc65fdad6138.jpg,,//www.lazada.vn/products/pdp-i2414512606.html
24,Bánh Trung Thu Kinh Đô - Bánh Nướng Nhân Mặn 1 Trứng 150G (Gà Quay/ Cua/ Thập Cẩm Lạp Xưởng/ Jambon),1947361637_VNAMZ,Kinh Đô,https://vn-live-01.slatic.net/p/5ba9b8ddb94d42ca0fb94e060e6281ab.jpg,,//www.lazada.vn/products/pdp-i1947361637.html
25,Bánh trung thu nướng/dẻo nhân thập cẩm jambong cổ truyền,1475163789_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/dd53baec6eed208797a706cd1e911f1d.jpg,,//www.lazada.vn/products/pdp-i1475163789.html
26,Bánh trung thu Thuần Chay,3139449361_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/c57be5f744e778791d0b12a887526b88.jpg,,//www.lazada.vn/products/pdp-i3139449361.html
27,[HCM] Bánh trung thu Thập Cẩm Gà Quay 2trứng Tân Dân Lợi 200gr,1859027363_VNAMZ,Đặc sản bến tre,https://vn-live-01.slatic.net/p/67bfd256ac85c74ee8c4389e4511a328.jpg,,//www.lazada.vn/products/pdp-i1859027363.html
28,"(Sỉ) Bánh trung thu nhân trứng muối DATE mới, giá tại xưởng",3152964441_VNAMZ,Thanh Dung,https://filebroker-cdn.lazada.vn/kf/S11c5e8e7040c4f57a471fe9d30357748g.jpg,,//www.lazada.vn/products/pdp-i3152964441.html
29,Bánh Trung thu Tân Xuân 2 trứng - loại 1,2373050025_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/29954eb99beb003f87419de04bb5a6a1.jpg,,//www.lazada.vn/products/pdp-i2373050025.html
30,(Mua 10 Tặng 1)COMBO 10 Chiếc Bánh Trung Thu Mini MIX Vị DATE Mới Nhất 2025,2388224419_VNAMZ,No Brand,https://vn-test-11.slatic.net/p/1d08aedc518bda79fc1bf1b45bbc91ff.jpg,,//www.lazada.vn/products/pdp-i2388224419.html
31,"BÁNH TRUNG THU NGHỆ THUẬT 3D ĐỦ CÁC LOAI  VỊ BÁNH , BÁNH HEALTHY  ÍT NGỌT, KHÔNG PHẨM MÀU,  KHÔNG CHẤT BẢO QUẢN",2410988830_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/f28312e96483458b400994bcd00364ce.jpg,,//www.lazada.vn/products/pdp-i2410988830.html
32,BÁNH TRUNG THU DẺO NHÀ LÀM . BAO NGON,2010086625_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S6341556b075948a589b9a476500304d23.jpg,,//www.lazada.vn/products/pdp-i2010086625.html
33,[BÁNH TRUNG THU] Bánh Nướng Trung Thu Đồng Khánh Dừa Sầu Riêng 1 Trứng (150g) Chính Hiệu Bông Lúa Vàng Được Phân Phối Chính Thúc Bởi Vũ Gia,2387742787_VNAMZ,Vũ Gia,https://vn-live-01.slatic.net/p/98d24a48190c30b106b11ab190c5eb37.png,,//www.lazada.vn/products/pdp-i2387742787.html
34,bánh trung thu Tân Dân Lợi bến tre 200g,2322262184_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sfb63161ad1594e4a8ff2c7506f1707b8s.jpg,,//www.lazada.vn/products/pdp-i2322262184.html
35,Bánh trung thu Vạn Long thập cẩm gà quay 4 trứng 600 gr,788544905_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/3ab0f561d50d80844b65454aaa692477.jpg,,//www.lazada.vn/products/pdp-i788544905.html
36,Bánh Trung Thu Đậu Xanh,1834064601_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sf7cbebf9f2ec4bfe8f59508eaab10378v.jpg,,//www.lazada.vn/products/pdp-i1834064601.html
37,"[Chính Hãng] Bánh Trung Thu Kinh Đô Dòng Bánh Nướng, Dẻo 1 Trứng_150gr+Hộp Đựng",1952067572_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S6d22bdc88cb84562a188d2dcae0c98d84.jpg,,//www.lazada.vn/products/pdp-i1952067572.html
38,"BÁNH TRUNG THU TÂN TÂN HỘP LỚN nhân thập cẩm gà quay 6 trứng , 8 trứng , 10 trứng",2666933656_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sf610289515b84edfb8136fc10d2e45d7s.jpg,,//www.lazada.vn/products/pdp-i2666933656.html
39,[BÁNH TRUNG THU CHAY] Bánh Nướng Trung Thu Đồng Khánh Chay Đậu Xanh (150g) Chính Hiệu Bông Lúa Vàng,2000453954_VNAMZ,Vũ Gia,https://vn-live-01.slatic.net/p/5dbc3e83d5381cf63d5da23840268be2.png,,//www.lazada.vn/products/pdp-i2000453954.html
40,Bánh Trung Thu Kinh Đô - Bánh Nướng Nhân Ngọt 1 Trứng 150G (Hạt Sen/ Đậu Xanh/ Khoai Môn/ Sầu Riêng/ Sữa Dừa/ Đậu Đỏ),1947419210_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/Se35b198f6f834c4faec29f87757128789.jpg,,//www.lazada.vn/products/pdp-i1947419210.html
41,BÁNH TRUNG THU TÂN DÂN LỢI ĐỦ VỊ 200GR,2306038447_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S14ce903570dc43e6b2ed53033f935e00q.jpg,,//www.lazada.vn/products/pdp-i2306038447.html
42,BÁNH TRUNG THU TÂN DÂN LỢI GÀ QUAY/ĐẬU XANH/KHOAI MÔN/MÈ ĐEN 2 TRỨNG 200GR,2306042734_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/b4acd374741b65bd54cd0d49c2e9262e.jpg,,//www.lazada.vn/products/pdp-i2306042734.html
43,"[Bánh Mới] nhân Gà quay , Xá Xíu thập cẩm,.. bánh trung thu Tân Dân Lơi 200g ít ngọt Cake food",2306020332_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sff10bf9035b74d10913076bbf6be9eebZ.jpg,,//www.lazada.vn/products/pdp-i2306020332.html
44,Bánh Trung Thu Thập Cẩm,1834078369_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S83284f644d25436980b6fa5884a7ba13w.jpg,,//www.lazada.vn/products/pdp-i1834078369.html
45,Bánh trung thu chay Liên Hoa ngon và healthy ( thực phẩm chay) FREESHIP,1877693869_VNAMZ,No Brand,https://sg-live-01.slatic.net/p/1a197496c878cc2ed642af11f757ce3b.png,,//www.lazada.vn/products/pdp-i1877693869.html
46,Bánh trung thu Tân Xuân đậu xanh hột vịt - 170gr,2277724104_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sc342039f49cf4cd1b0441d80a8da544fi.jpg,,//www.lazada.vn/products/pdp-i2277724104.html
47,"Bánh trung thu Tân Huê Viên Sóc Trăng, Đặc sản bánh trung thu gia truyền nhiều vị khác nhau 200g [Mua 4 bánh tặng hộp]",1961707583_VNAMZ,TÂN HUÊ VIÊN,https://vn-live-01.slatic.net/p/459e8e82e0e1740e738b4919a445fa1b.jpg,,//www.lazada.vn/products/pdp-i1961707583.html
48,Bánh Trung Thu Tân Tân Bến Tre 200gam 2 trứng đủ loại nhân,2792567317_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Seb42dabc5c0b4599b29b0336936b76dbD.jpg,,//www.lazada.vn/products/pdp-i2792567317.html
49,Bánh Trung Thu 200gr Tân Xuân Âu Cơ,3127320529_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/0232d8e8cd504a228f475bac8537a368.jpg,,//www.lazada.vn/products/pdp-i3127320529.html
50,"Hộp 2 Bánh Trung Thu Kinh Đô ""Team Thập Cẩm"" (2 Bánh X 150G)",1952074597_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S92f492969d6342dbb31c37fb06eccdfc4.jpg,,//www.lazada.vn/products/pdp-i1952074597.html
51,[ Độc Quyền Online ] Hộp Bánh Trung Thu Kinh Đô Phiên Bản Đặc Biệt - Túi Đeo Chéo Magic Keeper (2 Bánh X 80G),3157350959_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S04bc1fa079534efa8b9e414fa4616c5b4.jpg,,//www.lazada.vn/products/pdp-i3157350959.html
52,"Hộp 4 Bánh Trung Thu Kinh Đô ""Thưởng Trà Ngắm Trăng"" (4 Bánh X 210G)",2706253362_VNAMZ,Kinh Đô,https://filebroker-cdn.lazada.vn/kf/S0f2cce057c5542d8a8f18c4f248d28b4u.jpg,,//www.lazada.vn/products/pdp-i2706253362.html
53,Combo 2 bánh trung thu Tân Xuân,2717103368_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/4c21ca0cf435ed57bbb880af51f34284.jpg,,//www.lazada.vn/products/pdp-i2717103368.html
54,Combo 165k - 4 bánh Trung Thu 200gr - 1 trứng kèm Hộp,2372888221_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/8b225dd215d8cb4eff9d185336b60b1b.jpg,,//www.lazada.vn/products/pdp-i2372888221.html
55,BÁNH TRUNG THU VỊ GÀ QUAY SIZE LỚN 5 TRỨNG 700G TÂN DÂN LỢI,2414433966_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S96167da2bc7042e780a52b11a5aadeecq.jpg,,//www.lazada.vn/products/pdp-i2414433966.html
56,BÁNH TRUNG THU VỊ GÀ QUAY SIZE LỚN 4 TRỨNG 600G TÂN DÂN LỢI,2414716137_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/Sec6e6d6d38a54332840b97c0676c88d5F.jpg,,//www.lazada.vn/products/pdp-i2414716137.html
57,Hộp Bình Dân + Combo 4 bánh Trung thu Tân Xuân,2372886416_VNAMZ,No Brand,https://vn-live-01.slatic.net/p/7229a696727bd3fb343b3bf40ea27b8f.jpg,,//www.lazada.vn/products/pdp-i2372886416.html
58,"Combo 5 Bánh Trung Thu Truyền Thống Loại Đủ Vị Nhân Bánh (Thập Cẩm, Đậu Xanh, Khoai Môn, Dừa, Trà Xanh)",2768684553_VNAMZ,TLP,https://vn-live-01.slatic.net/p/d5365c44b407db72cfaeecfa1b613f95.png,,//www.lazada.vn/products/pdp-i2768684553.html
59,Bánh Trung Thu truyền thống Bảo Phương Thụy Khuê xếp hàng. Bán quanh năm. Uy tín 60 năm.  chỉ bán các tỉnh phía bắc do ảnh hưởng d ịch,1407954770_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S59216ba1801741518ce7c0f22fefa197K.jpg,,//www.lazada.vn/products/pdp-i1407954770.html
60,Bánh trung thu thập cẩm gà quay 2 trứng 220g (Bánh trung thu homemade),1775970069_VNAMZ,No Brand,https://filebroker-cdn.lazada.vn/kf/S23bc0ffd90c0468fa64ebc5805421ed85.jpg,,//www.lazada.vn/products/pdp-i1775970069.html
